alpha,chi2
1.130731e+00,9.781819e+01
1.131131e+00,9.785944e+01
1.131532e+00,9.790063e+01
1.131932e+00,9.794177e+01
1.132332e+00,9.798286e+01
1.132733e+00,9.802390e+01
1.133133e+00,9.806487e+01
1.133534e+00,9.810579e+01
1.133934e+00,9.814665e+01
1.134334e+00,9.818746e+01
1.134735e+00,9.822820e+01
1.135135e+00,9.826889e+01
1.135536e+00,9.830952e+01
1.135936e+00,9.835008e+01
1.136336e+00,9.839059e+01
1.136737e+00,9.843103e+01
1.137137e+00,9.847141e+01
1.137538e+00,9.851173e+01
1.137938e+00,9.855198e+01
1.138338e+00,9.859217e+01
1.138739e+00,9.863230e+01
1.139139e+00,9.867236e+01
1.139540e+00,9.871235e+01
1.139940e+00,9.875228e+01
1.140340e+00,9.879214e+01
1.140741e+00,9.883193e+01
1.141141e+00,9.887165e+01
1.141542e+00,9.891131e+01
1.141942e+00,9.895089e+01
1.142342e+00,9.899040e+01
1.142743e+00,9.902984e+01
1.143143e+00,9.906921e+01
1.143544e+00,9.910851e+01
1.143944e+00,9.914774e+01
1.144344e+00,9.918689e+01
1.144745e+00,9.922596e+01
1.145145e+00,9.926497e+01
1.145546e+00,9.930389e+01
1.145946e+00,9.934274e+01
1.146346e+00,9.938152e+01
1.146747e+00,9.942022e+01
1.147147e+00,9.945884e+01
1.147548e+00,9.949738e+01
1.147948e+00,9.953584e+01
1.148348e+00,9.957423e+01
